filnamn,par,sida,bredd,hojd,kB,alt,titel,bildtext,kalla,md5
elcentral-byte-01-fore.jpg,01,fore,1448,1086,571,"Gammalt proppskåp med skruvsäkringar på blå bakskiva, före byte av elcentral",Byte av elcentral 01 – före,Före: proppskåp med skruvsäkringar,PNG → JPEG q95 4:4:4 (en kodning),66ca93be19
elcentral-byte-01-efter.jpg,01,efter,1448,1086,463,"Två nya elcentraler med automatsäkringar och jordfelsbrytare på samma bakskiva, efter byte utfört av Ampy",Byte av elcentral 01 – efter,"Efter: två nya elcentraler, samma plats",PNG → JPEG q95 4:4:4 (en kodning),9f5aad0882
elcentral-byte-02-fore.jpg,02,fore,1448,1086,555,"Gammalt proppskåp med skruvsäkringar och handskrivna gruppmärkningar på orange vägg, före byte av elcentral",Byte av elcentral 02 – före,Före: proppskåp med skruvsäkringar,PNG → JPEG q95 4:4:4 (en kodning),f21afb8817
elcentral-byte-02-efter.jpg,02,efter,1448,1086,482,"Två nya elcentraler med automatsäkringar och märkta grupper på samma vägg, efter byte utfört av Ampy",Byte av elcentral 02 – efter,"Efter: två nya elcentraler, samma plats",PNG → JPEG q95 4:4:4 (en kodning),9bb7835ece
elcentral-byte-03-fore.jpg,03,fore,1600,1200,148,"Gammalt proppskåp med handskrivna gruppmärkningar i nisch, före byte av elcentral",Byte av elcentral 03 – före,Före: proppskåp i nisch,WhatsApp-JPEG kopierad orörd,a16cd47a1d
elcentral-byte-03-efter.jpg,03,efter,1600,1139,151,"Nya elcentraler med automatsäkringar i samma nisch, efter byte utfört av Ampy",Byte av elcentral 03 – efter,Efter: nya elcentraler i samma nisch,WhatsApp-JPEG kopierad orörd,071cc0bd83
elcentral-byte-04-fore.jpg,04,fore,1600,1200,121,"Gammalt proppskåp med kabelrör på vit vägg, före byte av elcentral",Byte av elcentral 04 – före,Före: proppskåp med kabelrör,WhatsApp-JPEG kopierad orörd,98221d01b5
elcentral-byte-04-efter.jpg,04,efter,1600,1200,153,"Nya elcentraler med automatsäkringar på samma vägg, efter byte utfört av Ampy",Byte av elcentral 04 – efter,"Efter: nya elcentraler, samma vägg",WhatsApp-JPEG kopierad orörd,c557d780ad
elcentral-byte-05-fore.jpg,05,fore,2048,1536,128,"Lösa ledare i väggen efter att det gamla skåpet tagits ner, före ny elcentral",Byte av elcentral 05 – före,Före: gamla skåpet nedtaget,WhatsApp-JPEG kopierad orörd,6abc6bb386
elcentral-byte-05-efter.jpg,05,efter,2048,1536,121,"Ny elcentral med automatsäkringar och öppen lucka, utfört av Ampy",Byte av elcentral 05 – efter,Efter: ny elcentral,WhatsApp-JPEG kopierad orörd,5854c343ac
